drug_name,total_drug_cost
ABILIFY,228565.04
ABILIFY MAINTENA,5078994.96
ARIPIPRAZOLE,12668693.84
ARISTADA,1204633.19
CHLORPROMAZINE HCL,2326349.37
CLOZAPINE,1210591.07
CLOZAPINE ODT,63722.26
CLOZARIL,97379.75
FANAPT,1569717.13
FAZACLO,13729.05
FLUPHENAZINE DECANOATE,216436.27
FLUPHENAZINE HCL,922887.44
GEODON,320294.36
HALOPERIDOL,1529002.02
HALOPERIDOL DECANOATE,719496.68
HALOPERIDOL DECANOATE 100,42202.35
HALOPERIDOL LACTATE,5400.0599999999995
INVEGA,1261901.23
INVEGA SUSTENNA,15934540.18
INVEGA TRINZA,1528766.52
LATUDA,20467007.01
LOXAPINE,89751.5
NUPLAZID,2445413.88
OLANZAPINE,1449105.71
OLANZAPINE ODT,151365.37
OLANZAPINE-FLUOXETINE HCL,63763.41
ORAP,3007.19
PALIPERIDONE ER,3356278.7
PERPHENAZINE,296348.43
PERPHENAZINE-AMITRIPTYLINE,37568.57
PIMOZIDE,12577.68
QUETIAPINE FUMARATE,3617047.43
QUETIAPINE FUMARATE ER,3672190.46
REXULTI,2412605.74
RISPERDAL,94634.91
RISPERDAL CONSTA,6947297.52
RISPERIDONE,1064447.81
RISPERIDONE ODT,93986.55
SAPHRIS,3042980.6999999997
SEROQUEL,191059.4
SEROQUEL XR,3009753.53
THIORIDAZINE HCL,93415.44
THIOTHIXENE,121583.4
TRIFLUOPERAZINE HCL,77434.68000000001
VRAYLAR,1958755.51
ZIPRASIDONE HCL,2178651.44
ZYPREXA,236941.88
ZYPREXA RELPREVV,58458.369999999995
ZYPREXA ZYDIS,62931.43
