,year,overdose_deaths,county
0,2018,18,ANDERSON
1,2017,34,ANDERSON
2,2016,24,ANDERSON
3,2015,20,ANDERSON
4,2018,7,BEDFORD
5,2017,3,BEDFORD
6,2016,1,BEDFORD
7,2015,8,BEDFORD
8,2018,1,BENTON
9,2017,5,BENTON
10,2016,1,BENTON
11,2015,4,BENTON
12,2018,3,BLEDSOE
13,2017,2,BLEDSOE
14,2016,2,BLEDSOE
15,2015,1,BLEDSOE
16,2018,30,BLOUNT
17,2017,29,BLOUNT
18,2016,21,BLOUNT
19,2015,19,BLOUNT
20,2018,17,BRADLEY
21,2017,14,BRADLEY
22,2016,7,BRADLEY
23,2015,10,BRADLEY
24,2018,3,CAMPBELL
25,2017,5,CAMPBELL
26,2016,4,CAMPBELL
27,2015,16,CAMPBELL
28,2018,3,CANNON
29,2017,3,CANNON
30,2016,3,CANNON
31,2015,3,CANNON
32,2018,0,CARROLL
33,2017,2,CARROLL
34,2016,1,CARROLL
35,2015,1,CARROLL
36,2018,12,CARTER
37,2017,16,CARTER
38,2016,14,CARTER
39,2015,10,CARTER
40,2018,21,CHEATHAM
41,2017,24,CHEATHAM
42,2016,13,CHEATHAM
43,2015,15,CHEATHAM
44,2018,1,CHESTER
45,2017,1,CHESTER
46,2016,2,CHESTER
47,2015,3,CHESTER
48,2018,1,CLAIBORNE
49,2017,2,CLAIBORNE
50,2016,2,CLAIBORNE
51,2015,3,CLAIBORNE
52,2018,1,CLAY
53,2017,2,CLAY
54,2016,6,CLAY
55,2015,2,CLAY
56,2018,6,COCKE
57,2017,6,COCKE
58,2016,4,COCKE
59,2015,5,COCKE
60,2018,13,COFFEE
61,2017,12,COFFEE
62,2016,12,COFFEE
63,2015,8,COFFEE
64,2018,2,CROCKETT
65,2017,0,CROCKETT
66,2016,0,CROCKETT
67,2015,1,CROCKETT
68,2018,7,CUMBERLAND
69,2017,9,CUMBERLAND
70,2016,6,CUMBERLAND
71,2015,2,CUMBERLAND
72,2018,200,DAVIDSON
73,2017,184,DAVIDSON
74,2016,178,DAVIDSON
75,2015,127,DAVIDSON
76,2018,2,DECATUR
77,2017,0,DECATUR
78,2016,3,DECATUR
79,2015,5,DECATUR
80,2018,4,DE KALB
81,2017,7,DE KALB
82,2016,1,DE KALB
83,2015,2,DE KALB
84,2018,10,DICKSON
85,2017,6,DICKSON
86,2016,17,DICKSON
87,2015,16,DICKSON
88,2018,0,DYER
89,2017,1,DYER
90,2016,0,DYER
91,2015,1,DYER
92,2018,4,FAYETTE
93,2017,3,FAYETTE
94,2016,2,FAYETTE
95,2015,5,FAYETTE
96,2018,1,FENTRESS
97,2017,1,FENTRESS
98,2016,2,FENTRESS
99,2015,2,FENTRESS
100,2018,1,FRANKLIN
101,2017,3,FRANKLIN
102,2016,2,FRANKLIN
103,2015,7,FRANKLIN
104,2018,6,GIBSON
105,2017,6,GIBSON
106,2016,5,GIBSON
107,2015,6,GIBSON
108,2018,4,GILES
109,2017,5,GILES
110,2016,4,GILES
111,2015,9,GILES
112,2018,1,GRAINGER
113,2017,1,GRAINGER
114,2016,3,GRAINGER
115,2015,2,GRAINGER
116,2018,18,GREENE
117,2017,17,GREENE
118,2016,13,GREENE
119,2015,5,GREENE
120,2018,2,GRUNDY
121,2017,1,GRUNDY
122,2016,2,GRUNDY
123,2015,1,GRUNDY
124,2018,7,HAMBLEN
125,2017,9,HAMBLEN
126,2016,19,HAMBLEN
127,2015,11,HAMBLEN
128,2018,41,HAMILTON
129,2017,60,HAMILTON
130,2016,53,HAMILTON
131,2015,37,HAMILTON
132,2018,3,HANCOCK
133,2017,3,HANCOCK
134,2016,1,HANCOCK
135,2015,3,HANCOCK
136,2018,2,HARDEMAN
137,2017,4,HARDEMAN
138,2016,1,HARDEMAN
139,2015,1,HARDEMAN
140,2018,5,HARDIN
141,2017,2,HARDIN
142,2016,7,HARDIN
143,2015,7,HARDIN
144,2018,11,HAWKINS
145,2017,5,HAWKINS
146,2016,19,HAWKINS
147,2015,14,HAWKINS
148,2018,1,HAYWOOD
149,2017,0,HAYWOOD
150,2016,1,HAYWOOD
151,2015,0,HAYWOOD
152,2018,6,HENDERSON
153,2017,5,HENDERSON
154,2016,2,HENDERSON
155,2015,4,HENDERSON
156,2018,7,HENRY
157,2017,2,HENRY
158,2016,4,HENRY
159,2015,1,HENRY
160,2018,8,HICKMAN
161,2017,3,HICKMAN
162,2016,4,HICKMAN
163,2015,5,HICKMAN
164,2018,2,HOUSTON
165,2017,1,HOUSTON
166,2016,2,HOUSTON
167,2015,2,HOUSTON
168,2018,1,HUMPHREYS
169,2017,4,HUMPHREYS
170,2016,2,HUMPHREYS
171,2015,4,HUMPHREYS
172,2018,2,JACKSON
173,2017,2,JACKSON
174,2016,4,JACKSON
175,2015,3,JACKSON
176,2018,5,JEFFERSON
177,2017,7,JEFFERSON
178,2016,3,JEFFERSON
179,2015,2,JEFFERSON
180,2018,1,JOHNSON
181,2017,1,JOHNSON
182,2016,1,JOHNSON
183,2015,3,JOHNSON
184,2018,218,KNOX
185,2017,196,KNOX
186,2016,147,KNOX
187,2015,122,KNOX
188,2018,0,LAKE
189,2017,0,LAKE
190,2016,0,LAKE
191,2015,0,LAKE
192,2018,2,LAUDERDALE
193,2017,2,LAUDERDALE
194,2016,5,LAUDERDALE
195,2015,0,LAUDERDALE
196,2018,7,LAWRENCE
197,2017,7,LAWRENCE
198,2016,5,LAWRENCE
199,2015,2,LAWRENCE
200,2018,1,LEWIS
201,2017,2,LEWIS
202,2016,0,LEWIS
203,2015,0,LEWIS
204,2018,7,LINCOLN
205,2017,4,LINCOLN
206,2016,5,LINCOLN
207,2015,2,LINCOLN
208,2018,7,LOUDON
209,2017,18,LOUDON
210,2016,12,LOUDON
211,2015,9,LOUDON
212,2018,4,MC MINN
213,2017,6,MC MINN
214,2016,5,MC MINN
215,2015,4,MC MINN
216,2018,0,MC NAIRY
217,2017,3,MC NAIRY
218,2016,3,MC NAIRY
219,2015,9,MC NAIRY
220,2018,2,MACON
221,2017,2,MACON
222,2016,5,MACON
223,2015,3,MACON
224,2018,5,MADISON
225,2017,12,MADISON
226,2016,7,MADISON
227,2015,5,MADISON
228,2018,1,MARION
229,2017,2,MARION
230,2016,3,MARION
231,2015,3,MARION
232,2018,5,MARSHALL
233,2017,6,MARSHALL
234,2016,10,MARSHALL
235,2015,5,MARSHALL
236,2018,18,MAURY
237,2017,12,MAURY
238,2016,15,MAURY
239,2015,11,MAURY
240,2018,0,MEIGS
241,2017,2,MEIGS
242,2016,1,MEIGS
243,2015,0,MEIGS
244,2018,8,MONROE
245,2017,5,MONROE
246,2016,6,MONROE
247,2015,6,MONROE
248,2018,40,MONTGOMERY
249,2017,22,MONTGOMERY
250,2016,15,MONTGOMERY
251,2015,24,MONTGOMERY
252,2018,1,MOORE
253,2017,1,MOORE
254,2016,0,MOORE
255,2015,0,MOORE
256,2018,3,MORGAN
257,2017,3,MORGAN
258,2016,6,MORGAN
259,2015,10,MORGAN
260,2018,3,OBION
261,2017,0,OBION
262,2016,1,OBION
263,2015,2,OBION
264,2018,5,OVERTON
265,2017,5,OVERTON
266,2016,6,OVERTON
267,2015,4,OVERTON
268,2018,0,PERRY
269,2017,1,PERRY
270,2016,0,PERRY
271,2015,0,PERRY
272,2018,1,PICKETT
273,2017,1,PICKETT
274,2016,0,PICKETT
275,2015,0,PICKETT
276,2018,0,POLK
277,2017,2,POLK
278,2016,2,POLK
279,2015,3,POLK
280,2018,8,PUTNAM
281,2017,10,PUTNAM
282,2016,10,PUTNAM
283,2015,12,PUTNAM
284,2018,2,RHEA
285,2017,4,RHEA
286,2016,3,RHEA
287,2015,3,RHEA
288,2018,25,ROANE
289,2017,16,ROANE
290,2016,21,ROANE
291,2015,15,ROANE
292,2018,10,ROBERTSON
293,2017,15,ROBERTSON
294,2016,9,ROBERTSON
295,2015,12,ROBERTSON
296,2018,68,RUTHERFORD
297,2017,48,RUTHERFORD
298,2016,45,RUTHERFORD
299,2015,44,RUTHERFORD
300,2018,1,SCOTT
301,2017,2,SCOTT
302,2016,1,SCOTT
303,2015,4,SCOTT
304,2018,3,SEQUATCHIE
305,2017,3,SEQUATCHIE
306,2016,3,SEQUATCHIE
307,2015,2,SEQUATCHIE
308,2018,38,SEVIER
309,2017,24,SEVIER
310,2016,17,SEVIER
311,2015,18,SEVIER
312,2018,123,SHELBY
313,2017,159,SHELBY
314,2016,150,SHELBY
315,2015,135,SHELBY
316,2018,3,SMITH
317,2017,2,SMITH
318,2016,8,SMITH
319,2015,5,SMITH
320,2018,6,STEWART
321,2017,0,STEWART
322,2016,1,STEWART
323,2015,1,STEWART
324,2018,43,SULLIVAN
325,2017,29,SULLIVAN
326,2016,36,SULLIVAN
327,2015,23,SULLIVAN
328,2018,33,SUMNER
329,2017,28,SUMNER
330,2016,21,SUMNER
331,2015,18,SUMNER
332,2018,12,TIPTON
333,2017,12,TIPTON
334,2016,16,TIPTON
335,2015,12,TIPTON
336,2018,7,TROUSDALE
337,2017,2,TROUSDALE
338,2016,0,TROUSDALE
339,2015,0,TROUSDALE
340,2018,5,UNICOI
341,2017,7,UNICOI
342,2016,5,UNICOI
343,2015,3,UNICOI
344,2018,2,UNION
345,2017,4,UNION
346,2016,6,UNION
347,2015,3,UNION
348,2018,1,VAN BUREN
349,2017,0,VAN BUREN
350,2016,3,VAN BUREN
351,2015,0,VAN BUREN
352,2018,4,WARREN
353,2017,1,WARREN
354,2016,5,WARREN
355,2015,5,WARREN
356,2018,9,WASHINGTON
357,2017,24,WASHINGTON
358,2016,30,WASHINGTON
359,2015,17,WASHINGTON
360,2018,4,WAYNE
361,2017,0,WAYNE
362,2016,1,WAYNE
363,2015,3,WAYNE
364,2018,5,WEAKLEY
365,2017,1,WEAKLEY
366,2016,4,WEAKLEY
367,2015,4,WEAKLEY
368,2018,4,WHITE
369,2017,0,WHITE
370,2016,8,WHITE
371,2015,7,WHITE
372,2018,30,WILLIAMSON
373,2017,24,WILLIAMSON
374,2016,19,WILLIAMSON
375,2015,21,WILLIAMSON
376,2018,19,WILSON
377,2017,26,WILSON
378,2016,27,WILSON
379,2015,26,WILSON
